Date,Open,High,Low,Close,Volume
22-Aug-17,926.96,941.96,926.17,940.40,1775099
21-Aug-17,925.77,928.25,918.60,920.87,1301243
18-Aug-17,926.98,931.02,923.45,926.18,1337404
17-Aug-17,942.95,943.81,927.64,927.66,1695694
16-Aug-17,941.25,949.90,940.04,944.27,1345261
15-Aug-17,941.03,943.07,936.64,938.08,1106484
14-Aug-17,939.07,941.04,934.48,938.93,1150612
11-Aug-17,923.71,933.36,921.22,930.09,1616708
10-Aug-17,935.00,936.30,921.78,923.59,2707393
9-Aug-17,938.45,943.76,933.92,940.08,1400852
8-Aug-17,944.29,952.49,942.48,944.19,1505064
7-Aug-17,947.52,948.96,943.50,945.75,1445754
4-Aug-17,943.95,947.54,939.80,945.79,1254574
3-Aug-17,949.10,950.00,939.44,940.30,1123921
2-Aug-17,948.37,949.10,932.52,947.64,2039418
1-Aug-17,947.81,954.49,944.96,946.56,1332456
31-Jul-17,960.00,961.19,941.72,945.50,2293389
28-Jul-17,947.99,961.79,945.31,958.33,1813794
27-Jul-17,969.18,969.52,937.06,952.51,3717900
26-Jul-17,972.78,973.95,960.23,965.31,2221625
25-Jul-17,970.70,976.73,963.80,969.03,5933602
24-Jul-17,994.10,1006.19,990.27,998.31,3984532
21-Jul-17,989.00,995.11,984.17,993.84,1463322
20-Jul-17,997.00,998.68,984.62,992.19,1418385
19-Jul-17,990.01,995.60,987.01,992.77,1412148
18-Jul-17,973.36,990.85,972.04,986.95,1413335
17-Jul-17,976.32,983.35,970.80,975.96,1660464
14-Jul-17,974.00,977.54,970.15,976.91,1079608
13-Jul-17,970.80,978.70,964.80,968.85,1524571
12-Jul-17,960.86,969.63,957.04,967.66,1602115
11-Jul-17,950.52,954.89,945.12,953.53,1461247
10-Jul-17,941.95,953.13,941.95,951.00,1451460
7-Jul-17,930.98,944.66,929.79,940.81,1663302
6-Jul-17,925.00,936.14,919.85,927.69,2014855
5-Jul-17,924.20,936.29,918.63,932.26,2094055
3-Jul-17,933.22,934.24,915.31,919.46,1694811
30-Jun-17,943.99,945.00,929.61,929.68,2287662
29-Jun-17,951.35,951.66,929.60,937.82,3206674
28-Jun-17,950.66,963.24,936.16,961.01,2745568
27-Jun-17,961.60,967.22,947.09,948.09,2443602
26-Jun-17,990.00,993.99,970.33,972.09,1517912
23-Jun-17,975.50,986.62,974.46,986.09,1563985
22-Jun-17,976.87,980.50,973.31,976.62,1009476
21-Jun-17,970.79,979.67,969.16,978.59,1161607
20-Jun-17,975.31,980.79,968.20,968.99,1297287
19-Jun-17,969.65,979.30,968.20,975.22,1468837
16-Jun-17,957.91,959.95,948.70,958.62,2559207
15-Jun-17,948.02,960.68,940.37,960.18,2427639
14-Jun-17,975.50,979.70,959.51,967.93,1505486
13-Jun-17,972.04,977.91,962.01,970.50,2005356
12-Jun-17,958.72,968.00,936.80,961.81,4202109
9-Jun-17,1005.49,1005.50,953.37,970.12,3647857
8-Jun-17,1004.23,1005.60,996.62,1004.28,1687925
7-Jun-17,998.82,1003.91,995.81,1001.59,1374097
6-Jun-17,1003.31,1008.61,994.80,996.68,1552114
5-Jun-17,997.89,1007.40,995.45,1003.88,1378916
2-Jun-17,988.59,996.48,987.07,996.12,1735469
1-Jun-17,990.96,993.14,981.29,988.29,1306384
31-May-17,996.21,999.60,981.68,987.09,1724095
30-May-17,992.50,997.62,991.36,996.17,1516685
26-May-17,992.00,996.39,987.36,993.27,1636416
25-May-17,979.00,995.78,977.82,991.86,1954149
24-May-17,975.26,978.12,971.63,977.61,1142488
23-May-17,969.96,974.51,964.50,970.55,1545421
22-May-17,957.00,964.82,956.56,964.07,1387392
19-May-17,952.82,959.56,952.00,954.65,1360299
18-May-17,943.20,954.18,941.27,950.50,1800465
17-May-17,959.70,960.99,940.06,942.17,2449058
16-May-17,963.55,965.90,960.35,964.61,1101544
15-May-17,955.29,962.70,952.82,959.22,1337697
12-May-17,957.85,957.98,952.06,955.14,1214851
11-May-17,951.29,957.99,948.61,955.89,1031093
10-May-17,956.22,956.71,949.84,954.84,1145969
9-May-17,961.33,962.20,954.40,956.71,1687942
8-May-17,947.45,960.99,947.40,958.69,1876690
5-May-17,956.72,958.44,948.10,950.28,1615548
4-May-17,950.29,959.14,947.37,954.72,1938260
3-May-17,936.05,950.20,935.21,948.45,1824759
2-May-17,933.27,942.98,931.00,937.09,1751292
1-May-17,924.15,935.82,920.80,932.82,2327782
28-Apr-17,929.00,935.90,923.22,924.52,3845857
27-Apr-17,890.00,893.38,887.18,891.44,2342303
26-Apr-17,891.39,892.99,885.15,889.14,1323297
25-Apr-17,882.26,892.25,879.28,888.84,2038032
24-Apr-17,868.44,879.96,866.11,878.93,1696483
21-Apr-17,860.62,862.44,857.73,858.95,1172870
20-Apr-17,859.74,863.93,857.50,860.08,1188843
19-Apr-17,857.38,860.20,853.53,856.51,1080336
18-Apr-17,852.54,857.39,851.25,853.99,936201
17-Apr-17,841.38,855.64,841.03,855.13,1049125
13-Apr-17,841.04,843.73,837.85,840.18,1073650
12-Apr-17,838.46,843.72,837.59,841.46,1135775
11-Apr-17,841.70,844.63,834.60,839.88,974343
10-Apr-17,841.54,846.74,840.79,841.70,1046215
7-Apr-17,845.00,845.88,837.30,842.10,1111610
6-Apr-17,849.50,853.59,844.00,845.10,1533564
5-Apr-17,854.71,860.59,847.52,848.91,1855153
4-Apr-17,848.00,853.00,847.50,852.57,1348494
3-Apr-17,848.75,859.00,847.53,856.75,1969402
31-Mar-17,846.83,849.56,845.24,847.80,1440982
30-Mar-17,851.98,852.00,846.77,849.48,949398
29-Mar-17,842.75,851.58,841.38,849.87,1457347
28-Mar-17,839.69,845.40,832.26,840.63,1519202
27-Mar-17,828.09,841.38,824.30,838.51,1935211
24-Mar-17,842.00,844.00,829.10,835.14,2105682
23-Mar-17,841.39,841.69,833.00,839.65,3287669
22-Mar-17,849.48,855.35,847.00,849.80,1366749
21-Mar-17,870.06,873.47,847.69,850.14,2537978
20-Mar-17,869.48,870.34,864.66,867.91,1542199
17-Mar-17,873.68,874.42,868.37,872.37,1868252
16-Mar-17,870.53,872.71,867.52,870.00,1104452
15-Mar-17,867.94,869.88,861.30,868.39,1332885
14-Mar-17,863.75,867.58,860.13,865.91,1061692
13-Mar-17,860.83,867.13,860.82,864.58,1166605
10-Mar-17,862.70,864.23,857.61,861.40,1336585
9-Mar-17,853.69,860.71,852.67,857.84,1347697
8-Mar-17,853.12,856.93,851.25,853.64,1029834
7-Mar-17,847.26,853.33,845.52,851.15,1038696
6-Mar-17,846.86,848.94,841.17,847.27,1047872
3-Mar-17,848.94,850.82,844.70,849.08,1006612
2-Mar-17,856.31,856.49,848.72,849.85,1250938
1-Mar-17,851.38,858.00,849.02,856.75,1818671
28-Feb-17,847.35,848.83,841.44,844.93,1383119
27-Feb-17,844.95,850.67,843.01,849.67,1010333
24-Feb-17,847.65,848.36,842.96,847.81,1346189
23-Feb-17,851.08,852.62,842.50,851.00,1386681
22-Feb-17,848.00,853.79,846.71,851.36,1224889
21-Feb-17,847.99,852.20,846.55,849.27,1261062
17-Feb-17,841.31,846.94,839.78,846.55,1461210
16-Feb-17,838.50,842.69,837.26,842.17,1005084
15-Feb-17,838.81,841.77,836.22,837.32,1357185
14-Feb-17,839.77,842.00,835.83,840.03,1363345
13-Feb-17,837.70,841.74,836.25,838.96,1295708
10-Feb-17,832.95,837.15,830.51,834.85,1415128
9-Feb-17,831.73,831.98,826.50,830.06,1194238
8-Feb-17,830.53,834.25,825.11,829.88,1302225
7-Feb-17,825.50,831.92,823.29,829.23,1666605
6-Feb-17,820.92,822.39,814.29,821.62,1350875
3-Feb-17,823.13,826.13,819.35,820.13,1528095
2-Feb-17,815.00,824.56,812.05,818.26,1689179
1-Feb-17,824.00,824.00,812.25,815.24,2251047
31-Jan-17,819.50,823.07,813.40,820.19,2020180
30-Jan-17,837.06,837.23,821.03,823.83,3516933
27-Jan-17,859.00,867.00,841.90,845.03,3752497
26-Jan-17,859.05,861.00,850.52,856.98,3493251
25-Jan-17,853.55,858.79,849.74,858.45,1662148
24-Jan-17,846.98,851.52,842.28,849.53,1688375
23-Jan-17,831.61,845.54,828.70,844.43,2457377
20-Jan-17,829.09,829.24,824.60,828.17,1306183
19-Jan-17,829.00,833.00,823.96,824.37,1070454
18-Jan-17,829.80,829.81,824.08,829.02,1027698
17-Jan-17,830.00,830.18,823.20,827.46,1440905
13-Jan-17,831.00,834.65,829.52,830.94,1290182
12-Jan-17,828.38,830.38,821.01,829.53,1350308
11-Jan-17,826.62,829.90,821.47,829.86,1325394
10-Jan-17,827.07,829.41,823.14,826.01,1197442
9-Jan-17,826.37,830.43,821.62,827.18,1408924
6-Jan-17,814.99,828.96,811.50,825.21,2017097
5-Jan-17,807.50,813.74,805.92,813.02,1340535
4-Jan-17,809.89,813.43,804.11,807.77,1515339
3-Jan-17,800.62,811.44,796.89,808.01,1959033
30-Dec-16,803.21,803.28,789.62,792.45,1735879
29-Dec-16,802.33,805.75,798.14,802.88,1057392
28-Dec-16,813.33,813.33,802.44,804.57,1214756
27-Dec-16,808.68,816.00,805.80,809.93,975962
23-Dec-16,808.01,810.97,805.11,807.80,765537
22-Dec-16,809.10,811.07,806.03,809.68,1132119
21-Dec-16,815.72,815.72,805.10,812.20,1459628
20-Dec-16,813.37,816.49,811.00,815.20,1271883
19-Dec-16,809.28,816.22,804.50,812.50,1263581
16-Dec-16,818.31,819.20,808.12,809.84,2598866
15-Dec-16,817.36,823.00,812.00,815.65,1769719
14-Dec-16,815.92,824.26,812.78,817.89,1799654
13-Dec-16,812.39,824.30,811.94,815.34,2128210
12-Dec-16,804.82,811.35,804.53,807.90,1628602
9-Dec-16,799.30,809.95,798.05,809.45,1904463
8-Dec-16,792.95,799.00,787.90,795.17,1612531
7-Dec-16,779.95,792.00,773.53,791.47,2029415
6-Dec-16,780.19,785.28,773.32,776.18,1734099
5-Dec-16,770.00,780.00,766.97,778.22,1688473
2-Dec-16,761.90,770.50,759.00,764.46,1718846
1-Dec-16,778.55,778.60,753.36,764.33,2867074
30-Nov-16,789.10,791.51,773.14,775.88,2279054
29-Nov-16,788.38,796.44,785.34,789.44,1561981
28-Nov-16,778.35,799.74,778.10,785.79,2575432
25-Nov-16,782.61,782.90,778.19,780.23,613549
23-Nov-16,789.52,789.52,772.65,779.00,1312981
22-Nov-16,788.99,793.77,783.74,785.00,1394174
21-Nov-16,778.10,786.55,776.30,784.80,1630835
18-Nov-16,787.17,791.29,775.35,775.97,1806264
17-Nov-16,782.50,788.90,779.85,786.16,1533679
16-Nov-16,770.42,783.50,766.33,779.98,1798360
15-Nov-16,765.47,780.24,765.22,775.16,2943889
14-Nov-16,771.76,771.78,743.59,753.22,3688274
11-Nov-16,776.81,777.29,765.54,771.75,3592641
10-Nov-16,810.00,810.06,768.23,780.29,5909609
9-Nov-16,801.83,811.71,792.04,805.59,3098510
8-Nov-16,802.03,816.04,799.62,811.98,1769069
7-Nov-16,794.95,805.00,792.90,802.03,1992570
4-Nov-16,771.30,788.48,771.00,781.10,1970603
3-Nov-16,784.50,790.00,778.63,782.19,2175216
2-Nov-16,806.76,806.76,785.00,788.42,2350736
1-Nov-16,810.87,813.96,798.26,805.48,2355890
31-Oct-16,822.43,822.63,808.00,809.90,2242679
28-Oct-16,829.94,839.00,817.00,819.56,4354884
27-Oct-16,823.01,826.58,814.61,817.35,2973486
26-Oct-16,827.12,827.71,816.35,822.10,1794868
25-Oct-16,838.50,838.50,825.30,828.55,1890712
24-Oct-16,830.09,837.94,829.04,835.74,1447616
21-Oct-16,820.00,824.29,818.31,824.06,1615814
20-Oct-16,827.56,828.46,820.55,821.63,1393870
19-Oct-16,824.52,829.81,823.20,827.09,1500142
18-Oct-16,814.21,828.81,813.33,821.49,2289265
17-Oct-16,805.99,813.49,803.83,806.84,1056367
14-Oct-16,807.45,810.09,802.32,804.60,1111934
13-Oct-16,806.07,806.56,798.62,804.08,1368981
12-Oct-16,811.96,814.50,808.55,811.77,907876
11-Oct-16,814.17,819.86,807.37,809.57,1721575
10-Oct-16,803.93,817.38,802.24,814.17,1496115
7-Oct-16,805.93,805.94,796.82,800.71,1163899
6-Oct-16,804.08,806.94,800.51,803.08,1099909
5-Oct-16,806.00,808.50,800.71,801.23,1213820
4-Oct-16,805.00,806.50,799.67,802.79,1258706
3-Oct-16,802.55,803.54,796.23,800.38,1489212
30-Sep-16,803.60,808.09,801.50,804.06,1660201
29-Sep-16,807.23,813.91,800.86,802.64,1349974
28-Sep-16,804.08,810.25,802.78,810.06,1470280
27-Sep-16,801.83,813.49,801.83,810.73,1367271
26-Sep-16,809.82,810.08,800.45,802.65,1472732
23-Sep-16,815.14,817.00,812.73,814.96,1411673
22-Sep-16,810.00,819.06,807.71,815.95,1759290
21-Sep-16,801.26,805.91,796.03,805.03,1348476
20-Sep-16,800.00,802.75,798.26,799.78,1050041
19-Sep-16,801.11,803.99,793.56,795.39,1149522
16-Sep-16,799.02,799.02,793.62,797.97,2130571
15-Sep-16,790.01,803.64,788.66,801.23,1566360
14-Sep-16,787.53,796.33,787.53,790.46,1313912
13-Sep-16,794.01,795.79,784.33,788.72,1809044
12-Sep-16,784.52,800.17,783.50,798.82,1863737
9-Sep-16,798.77,801.75,788.05,788.48,1887633
8-Sep-16,805.22,808.42,801.01,802.84,1177660
7-Sep-16,807.93,810.60,803.72,807.99,1145724
6-Sep-16,798.39,810.89,795.43,808.02,1989537
2-Sep-16,795.27,797.10,793.26,796.87,1347368
1-Sep-16,791.98,792.89,786.33,791.40,1303460
31-Aug-16,789.60,791.57,787.20,789.85,1071420
30-Aug-16,792.88,798.00,789.47,791.92,1167413
29-Aug-16,793.05,798.52,790.32,795.82,773698
26-Aug-16,792.49,799.40,789.41,793.22,1248881
25-Aug-16,792.00,794.72,787.23,791.30,1202680
